n,accuracy,precision,recall,f1,fpr,tnr,TN,FP,FN,TP,threshold
182382,0.7600366264214671,0.7167149996116102,0.9999819369056113,0.8349779606118993,0.6107118435925704,0.38928815640742964,27896,43763,2,110721,0.27
182382,0.7600366264214671,0.7167149996116102,0.9999819369056113,0.8349779606118993,0.6107118435925704,0.38928815640742964,27896,43763,2,110721,0.28
182382,0.7600421094186927,0.7167196390541354,0.9999819369056113,0.8349811090246828,0.6106978886113398,0.38930211138866017,27897,43762,2,110721,0.29
182382,0.7600475924159182,0.716724278556725,0.9999819369056113,0.8349842574612094,0.6106839336301093,0.38931606636989075,27898,43761,2,110721,0.3
182382,0.7600475924159182,0.716724278556725,0.9999819369056113,0.8349842574612094,0.6106839336301093,0.38931606636989075,27898,43761,2,110721,0.31
182382,0.7599708304547598,0.7166986042416552,0.9998554952448904,0.8349227537887786,0.6106839336301093,0.38931606636989075,27898,43761,16,110707,0.32
182382,0.759926966476955,0.7166895426529238,0.9997651797729469,0.8348851153371873,0.6106560236676482,0.38934397633235185,27900,43759,26,110697,0.33
182382,0.759844721518571,0.7166676379365049,0.9996116434706429,0.8348167144365666,0.6106281137051871,0.38937188629481295,27902,43757,43,110680,0.34
182382,0.7596966805934796,0.7166658029745556,0.9992142553940916,0.8346768565705643,0.6103908790242677,0.3896091209757323,27919,43740,87,110636,0.35
182382,0.7595925036461931,0.7166646148263819,0.9989342774310667,0.834578353253652,0.6102234192495011,0.38977658075049887,27931,43728,118,110605,0.36
182382,0.7592306258293033,0.7169371440446272,0.9970737787090307,0.834112802689736,0.6082697218772241,0.39173027812277594,28071,43588,324,110399,0.37
182382,0.7583423802787556,0.7178912129513996,0.9916187242036433,0.8328402815704837,0.6021016201733209,0.39789837982667914,28513,43146,928,109795,0.38
182382,0.757355440778147,0.729886766872566,0.9529998284006033,0.8266534008116196,0.5449420170529871,0.45505798294701294,32609,39050,5204,105519,0.39
182382,0.7647245890493579,0.8113744685149642,0.7979642892623935,0.8046135072125892,0.28663531447550206,0.7133646855244979,51119,20540,22370,88353,0.4
182382,0.7650042219078638,0.8127027425538189,0.7964740839753258,0.8045065796975847,0.28362103852970316,0.7163789614702968,51335,20324,22535,88188,0.41
182382,0.7650042219078638,0.8127085061284675,0.7964650524281315,0.8045047962669855,0.28360708354847264,0.7163929164515274,51336,20323,22536,88187,0.42
182382,0.7650042219078638,0.8127085061284675,0.7964650524281315,0.8045047962669855,0.28360708354847264,0.7163929164515274,51336,20323,22536,88187,0.43
182382,0.7650042219078638,0.8127085061284675,0.7964650524281315,0.8045047962669855,0.28360708354847264,0.7163929164515274,51336,20323,22536,88187,0.44
